^IXIC,
ARII,766010000.0
AMRB,72710000.0
ASEI,215070000.0
AMSWA,268290000.0
AMSC,148420000.0
AMWD,1230000000.0
CRMT,189280000.0
ABCB,1010000000.0
AMSF,1120000000.0
ASRV,57070000.0
ASRVP,
ATLO,228560000.0
FOLD,869020000.0
AMKR,1380000000.0
AMPH,691960000.0
AMSG,3920000000.0
AMSGP,7430000000.0
ASYS,76540000.0
AFSI,4650000000.0
AMRS,114240000.0
ANAC,4520000000.0
ALOG,1010000000.0
AVXL,153510000.0
ANCB,58560000.0
ABCW,
ANDA,16930000.0
ANGI,516570000.0
ANGO,423100000.0
ANIP,569360000.0
ANIK,658610000.0
ANSS,7590000000.0
ATRS,133560000.0
ANTH,147550000.0
ABAC,22560000.0
ATNY,
APIC,316770000.0
APOG,1260000000.0
APOL,1000000000.0
AINV,
AMEH,32990000.0
APPF,451330000.0
ARCI,6840000.0
APDN,66930000.0
APDNW,
AGTC,280950000.0
AMCC,519900000.0
AAOI,155740000.0
AREX,105140000.0
APRI,23800000.0
APTO,32650000.0
AQMS,148440000.0
AQXP,114450000.0
AUMA,69670000.0
AUMAU,
ARDM,63620000.0
ARLZ,249030000.0
PETX,217740000.0
ABUS,222870000.0
ARCW,42100000.0
ABIO,31700000.0
RKDA,52660000.0
ARCB,424900000.0
ACGL,8580000000.0
APLP,867510000.0
ACAT,185460000.0
ARDX,272190000.0
ARNA,381580000.0
ARCC,
AGII,1610000000.0
AGIIL,
ARGS,134730000.0
ARIS,65590000.0
ARIA,1480000000.0
ARKR,68910000.0
ARMH,19150000000.0
ARTX,68440000.0
ARWA,30700000.0
ARQL,115120000.0
ARRY,474780000.0
ARRS,4220000000.0
DWAT,
AROW,367780000.0
ARWR,324980000.0
ARTNA,249510000.0
ARTW,12510000.0
ASBB,93450000.0
ASNA,1390000000.0
ASND,354560000.0
ASCMA,217250000.0
APWC,34820000.0
ASML,40860000000.0
AZPN,3020000000.0
ASMB,91290000.0
